"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"佳木斯万达影城（万达广场店）","21.400 ","11.390 ","243.7460","374"
"鸡西万达影城（万达广场店）","  ","  ","  ","431"
"牡丹江万达影城（万达广场店）","20.699 ","11.307 ","234.0435","326"
"绥化万达影城（万达广场店)","20.050 ","10.700 ","214.5350","364"
"台北美麗華大直影城
原台北美麗華華納威秀影城","28.000
28.800
28.400","21.000
21.150
20.540","588.0000
609.1200
583.3360","404"
"台中老虎城威秀影城","15.390 ","8.560 ","131.7384","307"
"台中大遠百威秀影城","18.250 ","9.350 ","170.6375","391"
"新竹巨城威秀影城","17.760 ","9.690 ","172.0944","260"
"台南南紡威秀影城","21.800 ","12.200 ","265.9600","390"
"桃園美麗新台茂影城","17.760 ","9.750 ","173.1600","329"
"花蓮新天堂樂園威秀影城","21.330 ","12.030 ","256.5999","368"
"嘉義In89豪華影城","","","","221"
"高雄大遠百威秀影城","15.880 ","8.160 ","129.5808","279"
"新北板橋大遠百威秀影城","21.330 ","11.460 ","244.4418","404"
"新北新店裕隆城威秀影城","","","","352"
"南京万达影城（建邺万达广场店）","21.358 ","11.435 ","244.2287","367"
"南京万达影城（江宁万达广场店）","20.587 ","11.085 ","228.2068","372"
"南京金逸影城（光美江宁弘阳IMAX店）","24.600
22.366","12.470
11.989","306.7620
268.1459","471"
"南京幸福蓝海国际影城（常发IMAX店）","21.900 ","11.750 ","257.3250","370"
"南京卢米埃IMAX影城（弘阳杜比全景声激光店）B馆","22.750
20.923","11.800
11.280","268.4500
236.0114","311"
"南京万达影城（仙林万达茂店）","22.850
21.057","11.760
11.141","268.7160
234.5960","345"
"南京万达影城（六合欢乐港店）","18.850 ","10.650 ","200.7525","243"
"南京幸福蓝海国际影城（燕子矶招商花园城IMAX店）","21.840 ","11.410 ","249.1944","350"
"南京幸福蓝海国际影城（溧水IMAX店）","20.490 ","10.770 ","220.6773","330"
"南京金逸影城（溧水时代广场IMAX店）","22.080 ","11.640 ","257.0112","351"
"南京CGV影城（华采天地店）","21.300
19.205","11.050
10.198 ","235.3650
195.8525","236"
"南京幸福蓝海国际影城（IMAX激光环宇城店)","21.920
20.504","11.450
11.116","250.9840
227.9224","383"
"南京博纳国际影城（江北IMAX店) ","18.970 ","10.300 ","195.3910","241"
