"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"北京博纳国际影城（密云IMAX店）","19.164 ","10.523 ","201.6628","294"
"北京万达影城（丰台西铁营万达广场店）","21.390 ","11.250 ","240.6375","323"
"北京万达影城（怀柔万达广场店）","21.470 ","11.200 ","240.4640","339"
"北京万达影城（房山店）","22.850 ","11.760 ","268.7160","326"
"北京博纳影城（门头沟IMAX店) ","19.219 ","12.405 ","238.4117","283"
"北京CGV影城（清河店）	","16.480 ","8.310 ","136.9488","221"
"北京中国电影博物馆","27.000
30.170
27.200
26.829","21.000
19.507
20.500
21.057（地板到天花板高度）","567.0000
588.5261
557.6000
564.9382","403
340"
"北京博纳国际影城（大郊亭店)","20.920 ","10.900 ","228.0280","321"
"北京万达影城（石景山万达广场店）","21.300 
23.220","12.600 
12.680","268.0000 
294.4296","433
394"
"北京速铂影城（路劲IMAX店)","21.600 ","11.250 ","243.0000","274"
"北京沃美影城（熙悦天街IMAX店）","21.060 ","11.350 ","239.0310","380"
"北京环球城市大道电影院","25.800
25.960","14.760
13.945","380.8080
362.0122","473"
"北京金逸影城（荟聚IMAX店）","23.900
24.300
22.059","12.220
12.220
11.570","292.0580
296.9460
255.2226","435"
"北京博纳国际影城（亦庄IMAX店）","24.540 ","13.250 ","325.1550","368"
"北京万达影城（东坝万达广场店）","23.220 ","12.050 ","279.8010","319"
"北京博纳国际影城（朝阳北苑店）","20.120
17.300","10.550
9.800","212.2660
169.5400","266"
"北京寰映影城（昌平合生汇店）","15.000
15.112","8.150
7.666","122.2500
115.8485","255"
"北京儒意影城（CBD万达广场店）原万达影城","18.450
17.800
16.860","9.520
8.550
8.390","175.6440
152.1900
141.4554","359
328"
"北京金逸影城（朝阳大悦城店）","18.450 ","9.520 ","175.6440","298"
"北京英皇电影城（英皇中心店）","22.190 ","11.760 ","260.9544","324"
"北京英皇电影城（三里屯太古里店）","14.938 ","7.560 ","112.9313","304"
"北京完美世界影城（中关村IMAX+CINITY店）","23.910
24.760
24.750
23.418","13.840
13.180
13.180
13.277","330.9144
326.3368
326.2050
310.9207","411
396"
"北京卢米埃影城（长楹天街IMAX激光店）","23.650
25.190
23.943","13.040
13.810
12.926","308.3960
347.8739
309.4872","410"
"北京UME影城（融科IMAX店)","","","",""
"北京英皇电影城（太古坊店）","","","",""
"沈阳万达影城（奥体万达广场店）","22.190 ","11.610 ","257.6259","405"
"沈阳万达影城（沈北万达广场店) ","19.070
17.800","9.845
9.673","187.7442
172.1794","286"
"沈阳万达影城（铁西万达广场店）","22.240
22.240","11.572
11.570","257.36128
257.31680","401"
"沈阳万达影城（辽宁省科技馆—万达影城IMAXGT双激光）
原沈阳辽宁科技馆","29.000
29.000
28.261","22.000
21.855
20.792（地板到天花板高度22.347）","638.0000
633.7950
587.6027","596"
"沈阳万达影城（北一路万达广场店）","23.220
21.561","11.700
11.452","271.6740
246.9165","443"
"大连CGV影城（东港店）","21.760 ","12.730 ","277.0048","406"
"大连万达影城（普兰店万达广场店）","15.250 ","8.940 ","136.3350","290"
"大连万达影城（庄河万达广场店)","15.500 ","8.860 ","137.3300","274"
"大连博纳国际影城（中央大道IMAX店）","24.830 ","14.070 ","349.3581","467"
"大连万达影城（甘井子万达广场店）","21.140 ","11.000 ","232.5400","338"
"大连万达影城（金州瑞栢中心店）","19.630 ","10.980 ","215.5374","315"
"大连万达影城（经开万达广场店)","21.620
22.010","11.510
11.510","248.8462
253.3351","362
344"
"大连万达影城（华府店）","19.940
20.860","11.110
10.761","221.5334
224.4744","347
347
321"
"大连万达影城（高新万达广场店）","22.080
22.390","12.130
11.870","267.8304
265.7693","400"
"盘锦CGV影城（兴隆台店）","  ","  ","  ","300"
"盘锦万达影城(万达广场店)","24.975 ","13.503 ","337.2374","361"
"抚顺万达影城（万达广场店）","21.800
23.210","11.760
11.800","256.3680
273.8780","394"
"丹东万达影城（万达广场店）","20.690 ","11.750 ","243.1075","367"
"营口万达影城（万达广场店）","  ","  ","","381"
"营口万达影城（鲅鱼圈万达广场店）","  ","  ","","388"
"朝阳万达影城（万达广场店）","20.140 ","10.670 ","214.8938","423"
"辽阳万达影城（万达广场店）","20.750 ","10.800 ","224.1000","385"
"锦州万达影城（万达广场店）","  ","  ","","397"
"本溪万达影城（万达广场店）","22.030 ","11.520 ","253.7856","352"
"鞍山万达影城（万达广场店)","23.710 ","12.700 ","301.1170","330"
"阜新万达影城（万达广场店)","","","","401"
"昆明万达影城（同德广场店）","20.750 ","11.930 ","247.5475","242"
"昆明CGV影城（呈贡店）","24.313 ","13.044 ","317.1387","368"
"昆明SFC上影影城（西城IMAX店)","22.738 ","12.186 ","277.0852","338"
"昆明万达影城（西山万达广场店）","21.300
22.130","11.910
11.660","253.6830
258.0358","352"
"昆明万达影城（新迎新城店）","20.540 ","10.790 ","221.6266","226"
"昆明万达影城（南亚风情店）","17.330 ","8.950 ","155.1035","291"
"昆明维斯影城（海乐城IMAX店）
（原昆明CGV影城（海伦店)）","19.950 ","10.650 ","212.4675","292"
"昆明百老汇影城（IMAX顺城店）","21.220 ","11.050 ","234.4810","291"
"西双版纳万达影城（万达广场店）","16.933 ","9.655 ","163.4881","238"
"大理博纳国际影城（时代天街IMAX店）","20.130 ","10.450 ","210.3585","321"
"曲靖万达影城（经开万达广场店）","20.860 ","10.810 ","225.4966","408"
"武汉万达影城（菱角湖万达广场IMAX店）","19.500 ","10.770 ","210.0150","316"
"武汉CGV影城（奥山店）","22.910
22.897","13.040
12.366","298.7460
284.2572","418"
"武汉金逸影城（光美荟聚IMAX店）","19.520 ","10.390 ","202.8128","278"
"武汉CGV影城（凯德店）","20.700
20.766","11.685
11.421","241.8795
237.1684","269"
"武汉金逸影城（蔡甸IMAX店）","20.060 ","10.400 ","208.6240","275"
"武汉CGV影城（金桥店）","24.030
22.440","12.400
11.656","297.9720
261.5606","367"
"武汉武商摩尔国际电影城","21.340
20.163
20.034","11.100
10.590
10.422","236.8740 
213.5261
208.7943","294"
"武汉万达影城（金银湖万达广场IMAX店）","19.420 ","10.330 ","200.6086","359"
"武汉金逸影城（人信汇店）
原武汉百老汇影城（汉阳人信汇店）","21.310 ","12.100 ","257.8510","358"
"武汉百美汇影城（激光IMAX恒隆广场店）","21.600 ","11.340 ","244.9440","276"
"武汉万达影城（阳逻万达广场IMAX店) ","21.270 ","11.460 ","243.7542","344"
"武汉金逸影城（大悦城IMAX店) ","19.730 ","10.700 ","211.1110","255"
"武汉CGV影城（洪山店) ","22.770 ","11.770 ","268.0029","362"
"武汉CGV影城（金银潭店）","17.810
16.715","9.030
8.511","160.8240
142.2613","346"
"武汉武商梦时代摩尔影城","20.160
19.988","10.630
9.908","214.3008
198.0411","370"
"武汉万达影城（汉街万达广场IMAX激光店） ","23.220
21.068","12.050
11.519","279.8010
242.6822","265"
"武汉万达影城（经开万达广场IMAX激光店）","18.200
20.120
18.031","10.050
10.550
9.748","182.9100
212.2660
175.7661","259"
"武汉博纳院线影城（光谷星悦广场IMAX店）","24.570
23.639","13.150
12.492","323.0955
295.2983","459"
"武汉金逸影城（销品茂IMAX店）","16.590
17.420","9.100
9.250","150.9690
161.1350","304"
"襄阳万达影城（万达广场IMAX激光店）","20.180
18.877","10.399
10.009","209.8518
188.9398","333"
"宜昌万达影城（伍家岗万达广场IMAX店)","20.693 ","11.164 ","231.0166","318"
"宜昌CGV影城（国贸大厦店）","20.860
19.857","10.990
10.446","229.2514
207.4262","264"
"宜昌万达影城（夷陵万达广场IMAX店)","18.740
17.110","9.720
9.202","182.1528
157.4462","307"
"荆州万达影城（万达广场IMAX店)","20.557 ","10.989 ","225.9008","411"
"黄石万达影城（黄石港万达广场IMAX店)","   ","  ","","387"
"荆门万达影城（万达广场IMAX店)","   ","  ","","397"
"十堰万达影城（万达广场IMAX店)","22.610 ","11.940 ","269.9634","352"
"孝感金逸影城（汉川IMAX店）","19.990 ","10.640 ","212.6936","239"
"黄冈万达影城（万达广场IMAX店)","  ","  ","  ","372"
"武穴银兴国际影城（IMAX激光店）","21.140 ","11.050 ","233.5970",""
"仙桃金逸影城（环球中心IMAX店) ","21.920 ","11.550 ","253.1760","312"
"长沙万达影城（开福万达广场IMAX店）","23.160 ","13.460 ","311.7336","438"
"长沙CGV影城（德思勤店）","19.818 ","10.661 ","211.2796","268"
"长沙万达影城（梅溪湖步步高IMAX店）","21.755 ","11.938 ","259.7111","426"
"长沙CGV影城（梅溪湖店）","21.855 ","11.672 ","255.0915","402"
"长沙横店电影城（IMAX悠游小镇店）","18.728 ","10.379 ","194.3779","249"
"长沙万达影城（解放路IMAX激光店)","22.420
23.210
21.363","11.510
12.300
11.243","258.0542 
285.4830
240.1842","382"
"长沙万达影城（中茂城IMAX店）","21.820 ","11.400 ","248.7480","324"
"长沙博纳国际影城（龙湖IMAX店） ","18.600
17.573","10.010
9.495","186.1860
166.8556","235"
"长沙VHC维港影城","26.500
24.358","14.090
13.091","373.3850
318.8705","452"
"长沙寰映影城（荟聚IMAX激光店)","26.510
23.847","14.160
13.328","375.3816
317.8328","311"
"长沙横店纷腾影城（IMAX观沙岭花园城店) ","17.430
16.535","9.250
8.700","161.2275
143.8545","278"
"长沙星光嘉映影城（月亮岛天街店）","18.770
18.013","9.650
9.580","181.1305
172.5645","293"
"长沙万象影城（万象城IMAX激光店）","18.450
16.804","9.520
8.820","172.6440
148.2112","280"
"长沙寰映影城（龙湖新姚天街店)","","","",""
"宁乡金逸影城（翡翠湖IMAX店) ","19.226 ","10.185 ","195.8168","333"
"郴州万达影城（生源广场IMAX店）","22.750 ","11.700 ","266.1750","384"
"湘潭万达影城（万达广场IMAX店）","22.540
21.068","11.840
11.475","266.8736
241.7553","327"
"湘潭横店电影城 （IMAX步步高店）","19.802 ","10.664 ","211.1685","280"
"湘潭金逸影城（步步高IMAX店）","19.760
19.151","？
10.369"," ?
198.5767","251"
"常德万达影城（万达广场IMAX店）","  ","   ","  ","357"
"益阳万达影城（万达广场IMAX店） ","  ","  ","  ","429"
"衡阳万达影城（万达广场IMAX店）","20.220 ","10.430 ","210.8946","368"
"衡阳金逸影城（中心城店）","  ","  ","  ","486"
"岳阳CGV影城（步步高店）","  ","  ","  ","280"
"邵阳万达影城（大汉悦IMAX店） ","","","","231"
"株洲横店电影城（IMAX世贸店）","16.563 ","8.863 ","146.7978","239"
"长春万达影城（欧亚大卖场店）","21.470 ","13.031 ","279.7756","556"
"长春万达影城（重庆路万达广场店）","22.710 ","12.280 ","278.8788","374"
"长春万达影城（宽城万达广场店）","20.536 ","10.682 ","219.3656","413"
"长春万达影城（繁荣路力旺中心店）","  ","  ","  ","325"
"长春星轶IMAX影城（绿园吾悦广场旗舰店)","25.980 ","13.850 ","359.8230","530"
"长春万达影城（车城万达广场店）","20.536 ","10.682 ","219.3656","370"
"长春万达影城（栖乐荟广场店）","24.030 ","12.400 ","297.9720","370"
"长春寰映影城 （摩天活力城店)","23.100
21.100","11.750
11.405","271.4250
240.6455","415"
"长春万达影城 （钜城华億广场店)","","","","329"
"长春万达影城（红旗街万达广场店）","20.848 ","11.763 ","245.2350","383
377
345"
"吉林万达影城（欧亚广场店）","  ","  ","","335"
"吉林万达影城（昌邑万达广场店）","21.720 ","11.340 ","246.3048","350"
"四平万达影城（万达广场店）","  ","  ","","374"
"四平万达影城（颐高产业园店）","  ","  ","","307"
"延吉万达影城（万达广场店）","21.478 ","11.388 ","244.5915","377"
"天津CGV星星影城（滨海店）","16.450 ","8.680 ","142.7860","332"
"天津金逸影城（大港IMAX店）","19.700 ","10.500 ","206.8500","370"
"天津SFC上影影城（天河城店)","18.890 ","10.480 ","197.9672","286"
"天津万达影城（西青社会山广场店）","18.980 ","9.800 ","186.0040","229"
"天津万象影城（万象城IMAX激光店)","24.520 ","12.820 ","314.3464","365"
"天津金逸影城（大悦城IMAX店）","21.950
23.880","12.100
12.100","265.5950
288.9480","511
504"
"天津万达影城（河东万达广场店 ）","23.770
22.420","12.340
11.850","293.3218
265.6770","398"
"天津万达影城（SM城市广场IMAX店）","25.380
24.835","13.450
13.450","341.3610
334.0307","526"
"天津中影华臣影城（滨海IMAX店）
原天津中影大吉利影城IMAX（于家堡店）
原天津CGV影城（于家堡店） ","23.890 ","13.830 ","330.3987","345"
"石家庄万象影城（万象城IMAX激光店）","25.070 ","13.190 ","330.6733","358"
"石家庄万达影城（裕华万达广场店）","23.210
23.220","11.950
12.050","277.3595
279.8010","385"
"石家庄UME影城（勒泰IMAX店)","","","",""
"廊坊万达影城（万达广场店) ","","","","383"
"唐山万达影城（路南万达广场店）","23.210
22.420","11.968
11.850","277.7772
265.6770","357
336"
"邯郸CGV影城（环球中心店) ","","","","239"
"邯郸万达影城（万达广场店) ","","","","392"
"邢台万达影城（万达广场店）","  ","  ","","306"
"秦皇岛博纳国际影城（茂业店) ","","","","251"
"秦皇岛万达影城（万达广场店) ","20.330 ","10.520 ","213.8716","358"
"张家口横店电影城（IMAX新五一广场店) ","","","","265"
"承德美承影院（中良凤凰城激光IMAX店）","19.520 ","9.900 ","193.2480","328"
"保定万达影城（万博广场店）","15.850 ","8.350 ","132.3475","212"
"济南万达影城（魏家庄万达广场店）","20.240 ","11.020 ","223.0448","362"
"济南幸福蓝海国际影城（全运村中央广场IMAX店）","24.570 ","12.900 ","316.9530","371"
"济南CGV影城（印象城店)","20.540 ","10.480 ","215.2592","225"
"济南万象影城（万象城IMAX激光店）","22.850 ","11.730 ","268.0305","396"
"济南万达影城（高新万达广场店）","23.020 ","11.850 ","272.7870","360"
"济南山东省科技馆（新馆）","29.000
28.650","21.000
19.048","609.0000
545.7252","575"
"济南UME影城（龙湖西城天街激光IMAX店）","21.960
19.900","11.550
10.750","253.6380
213.9250","322"
"青岛万达影城（CBD万达广场店)","21.930
21.200","10.100
10.997","221.4930
233.1364","374"
"青岛SFC上影影城（金狮广场店)","  ","   ","  ","291"
"青岛CGV影城（新都心店）","   ","  ","","229"
"青岛星轶IMAX影城（黄岛吾悦广场旗舰店）","22.920
22.140","11.900
12.050","272.7480
266.7870","321"
"青岛万达影城（东方影都店）","  ","  ","  ","374"
"青岛万达影城（青特万达广场店) ","24.110 ","12.570 ","303.0627","339"
"青岛万达影城（李沧万达广场店）","22.750 ","11.691 ","265.9702","348"
"青岛CGV影城（万象城店）","22.210 ","12.030 ","267.1863","442"
"潍坊万达影城（万达广场店）","22.510 ","11.790 ","265.3929","394"
"潍坊万达影城（寿光万达广场店）","20.340 ","10.490 ","213.3666","342"
"潍坊和平影院","","","","366"
"济宁万达影城（太白路万达广场店）","  ","  ","  ","350"
"烟台幸福蓝海国际影城（IMAX店）","21.210
21.210","11.270
11.420","239.0367
242.2182","426"
"烟台万达影城（芝罘万达广场店）","  ","  ","  ","409"
"东营万达影城（万达广场店）","   ","  ","","389"
"东营万达影城（东城万达广场店）","  ","  ","  ","332"
"泰安万达影城（万达广场店）","   ","  ","","414"
"泰安万达影城（盘古天地店）","22.490 ","12.150 ","273.2535","457
368"
"德州万达影城（万达广场店）","   ","  ","","367"
"滨州万达影城（万达广场店）","  ","  ","","431"
"枣庄万达影城（万达广场店）","18.960 ","10.540 ","199.8384","390"
"菏泽万达影城（万达广场店）","20.900 ","10.850 ","226.7650","368"
"临沂CGV影城（泰盛店）","20.900
20.580","11.110
11.260","232.199
231.7308","245"
"临沂万达影城（滨河万达广场店)","16.290 ","8.740 ","142.3746","219"
"日照万达影城（万达广场店) ","","","","372"
"淄博齐纳国际影城（银座店）","22.040 ","11.550 ","254.5620","317"
"淄博万达影城（富力万达广场店) ","19.360 ","10.150 ","196.5040","342"
"威海万达影城（环翠万达广场店) ","19.300 ","10.310 ","198.9830","304"
"威海幸福蓝海国际影城（华发新天地IMAX店）","24.430 ","13.500 ","329.8050","380"
"合肥万达影城（包河万达广场店)","22.810
21.379","11.968
11.602","272.9908
248.0391","374"
"合肥英皇电影城（万象城店）","21.850
20.788","11.570
11.451","252.8045
238.0433","408"
"合肥万达影城（瑶海万达广场店）","23.660
22.105","12.600
11.768","298.1160
260.1316","319"
"合肥万达影城（文化旅游城店）","22.360
20.980","11.710
11.319","261.8356
237.4726","355"
"合肥万达影城（宝利丰广场店）","23.390
21.575","12.160
11.517","284.4224
248.4792","343"
"合肥万达影城（万科广场店)","20.141 ","10.072 ","189.8672","317"
"合肥博纳国际影城（龙湖天街店)","17.876 ","9.834 ","175.7925","247"
"合肥万达影城（北城万达广场店)","18.851 ","10.072 ","189.8672","355"
"合肥博纳国际影城（弘阳店)","20.990
20.066","11.190
10.812","234.8781
216.9535","377"
"合肥星光嘉映影城（激光IMAX龙湖高新天地店）","19.800
17.315","10.100
10.100","198.9800
174.8815","243"
"合肥万达影城（天鹅湖万达广场店）","22.430
21.402","11.950
11.120","268.0385
237.9902","378"
"合肥万达影城（巢湖万达广场店）","22.170 ","11.640 ","258.0588","369"
"芜湖幸福蓝海国际影城 ","25.580 ","13.780 ","352.4924","411"
"芜湖万达影城（镜湖万达广场店）","23.200 ","11.700 ","271.4400","355"
"蚌埠万达影城（蚌山万达广场店）","21.850
22.240
20.703","11.760
11.610
11.140","256.9560
258.2064
230.6314","402"
"马鞍山万达影城（万达广场店）","","","","409"
"铜陵万达影城（万达广场店）","   ","  ","","387"
"阜阳万达影城（颍州万达广场店）","20.389 ","11.136 ","227.0519","427"
"阜阳东方巨幕影城 ","20.684 ","11.056 ","228.6823","409"
"阜阳万达影城（颍泉万达广场店）","19.190 ","10.579 ","203.0110","411"
"亳州万达影城（万达广场店）","  ","  ","  ","399"
"宿州万达影城（万达广场店）","  ","  ","  ","401"
"安庆星轶IMAX影城（安庆吾悦广场旗舰店）","20.960 ","11.170 ","234.1232","342"
"淮北万达影城（万达广场店）","20.960 ","10.850 ","227.4160","370"
"六安万达影城（万达广场店）","20.260 ","10.730 ","217.3898","412"
"黄山金逸影城（光美黎阳IMAX店）","20.980 ","11.000 ","230.7800","333"
"宣城万达影城（万达广场店）","  ","  ","  ","332"
"淮南星轶IMAX影城（淮南吾悦广场旗舰店）","25.490
23.467","13.480
12.380","343.6052
290.5214","389"
"淮南万达影城（万达广场店)","19.784 ","10.641 ","210.5215","365"
"滁州万达影城（万达广场店)","21.500 ","11.220 ","241.2300","325"
"杭州万达影城（水晶城店）","19.843 ","10.414 ","206.6450","311"
"杭州万达影城（拱墅万达广场店）","20.681 ","11.401 ","235.7840","348"
"杭州SFC上影影城（下沙IMAX店）","21.958 ","12.037 ","264.3084","376"
"杭州悦江新远影城IMAX","22.010 
21.463","12.600
11.683","277.3300
250.7522","511"
"杭州CGV影城（乐堤港店）","24.156
23.882","12.714
12.934","307.1194
308.8897","393"
"杭州CGV影城（滨江天街店）","23.196 ","12.473 ","289.3237","400"
"杭州浙影时代•西溪欢乐城IMAX店
原东影时代IMAX影城（西溪店）","20.570
20.047","11.435
10.592","235.2179
212.3378","396"
"杭州博纳国际影城（临平IMAX店）","19.623 ","10.535 ","206.7283","288"
"杭州SFC上影影城（余之城IMAX店）","18.803 ","10.204 ","191.8658","256"
"杭州博纳国际影城（西溪店）","21.935 ","11.685 ","256.3104","363"
"杭州万达影城（崇贤上亿店）","20.096 ","10.889 ","218.8253","317"
"杭州金逸影城（华夏之心美瑭IMAX店）","19.441 ","10.267 ","199.6007","286"
"杭州博纳国际影城（丁桥龙湖IMAX店）","17.320
16.457","9.190
8.716","159.1708
143.4392","267"
"杭州浙影时代影城•西湖文化广场店
（原新远国际影城）","19.500
19.457","10.700
10.713","208.6500
208.4428","350"
"杭州幸福蓝海国际影城（花园城IMAX店）","19.730
18.837","10.790
10.153","212.8867
191.2520","245"
"杭州星光嘉映影城IMAX（新天地店）
（原新天地寰耀影城IMAX）
（原新天地新远影城IMAX） ","26.110
25.110
24.473","14.090
13.835
13.298","367.8899
347.3968
325.4419","439"
"杭州万象影城 （万象城IMAX激光店）
原百老汇影城（万象城店）","21.611 ","11.343 ","245.1335","460"
"杭州横店电影城（萧山银泰店）","23.882 ","12.918 ","300.1755","318"
"杭州横店电影城（IMAX之江西投银泰店）","20.120
18.565","10.550
9.930","212.2660
184.3504","281"
"杭州寰映影城（龙湖店）","","","",""
"宁波万达影城（江北万达广场店）","23.210
21.174","12.053
11.575","279.7501
245.0890","376"
"宁波CGV影城（鄞州店）","21.390 ","11.092 ","237.2579","358"
"宁波博纳国际影城（北仑IMAX店）","  ","  ","","324"
"宁波星轶IMAX影城（镇海吾悦广场旗舰店）","23.916 ","12.647 ","302.4656","388"
"宁波万达影城（奉化万达广场店）","20.660 ","10.730 ","221.6818","388"
"宁波万象影城 （万象城IMAX激光店) ","25.880
23.843","13.920
13.031","360.2496
310.6981","448"
"宁波幸福蓝海国际影城（环宇城IMAX店）  ","23.030
22.058 ","12.660
11.768","291.5598
259.5785","381"
"宁波影都（亚细亚IMAX店）","23.890
22.717","12.840
11.905 ","306.7476
270.4458","352"
"宁波万达影城（鄞州万达广场店）","22.960 ","11.500 ","264.0400","305"
"余姚CGV影城（城东店）","  ","  ","","375"
"余姚万达影城（万达广场店）","20.840
20.970","11.060
10.850","230.4904
227.5245","302"
"慈溪中影星美国际影城（保利店）","  ","  ","","454"
"丽水万地国际影城","   ","  ","  ","400"
"绍兴卢米埃影城（银泰城店）","  ","  ","  ","393"
"绍兴万达影城（上虞万达广场店）","   ","  ","   ","361"
"绍兴星轶IMAX影城（嵊州吾悦广场旗靓店）","25.410 ","14.080 ","357.7728","372"
"绍兴万达影城（柯桥万达广场店）","19.910 ","10.231 ","203.6992","316"
"诸暨万达影城（万达广场店）","22.140 ","11.600 ","256.8240","352"
"嵊州金逸IMAX影城（和悦时代广场店）","  ","  ","  ","287"
"金华万达影城（万达广场店）","21.860 ","11.640 ","254.4504","417
387"
"金华横店电影城（世贸广场IMAX店）","14.930 ","7.300 ","108.9890","262"
"义乌万达影城（万达广场店）","26.560
24.728","14.410
13.363","382.7296
330.4402","377"
"义乌上影国际影城（新光汇店）
原义乌上影X—CINEMA影城","21.634 ","11.874 ","256.8821","399"
"义乌保利美博影城（义乌之心IMAX店）
原义乌保利国际影城（义乌之心店）","26.880
23.989","？
13.113","？
314.5677","322"
"嘉兴万达影城（万达广场店）","20.410 ","11.144 ","227.4490","373"
"桐乡星轶IMAX影城（桐乡吾悦广场旗舰店）","25.420
24.165","14.090
12.901","358.1678
311.7526","394"
"海宁披云传奇电影中心IMAX(爱琴海店)
原传奇电影中心","19.475 ","10.668 ","207.7593","285"
"温州万达影城（龙湾万达广场店)","22.300 ","11.702 ","260.9546","392"
"温州万达影城（平阳万达广场店）","  ","  ","  ","430"
"温州卢米埃影城（万象城店）","  ","  ","  ","361"
"温州博纳国际影城（5050广场IMAX店） ","21.250 ","11.080 ","235.4500","304"
"温州博悦汇影城（印象城IMAX店)","17.820 ","8.950 ","159.4890","249"
"乐清虹桥神画 IMAX 影城","","","","383"
"台州万达影城（台州万达广场店）","  ","  ","  ","357"
"台州万达影城（中盛广场店）","21.550 ","  ","  ","374"
"台州金逸影城（路桥店)","","","","408"
"湖州万达影城（万达广场店）","21.590
20.287","11.260
10.759","243.1034
218.2678","361"
"衢州星轶IMAX影城（衢州吾悦广场旗舰店）","24.460 ","12.800 ","313.0880","373"
"衢州万达影城（经开万达广场店）","21.320 ","11.100 ","236.6520","369"
"舟山保利国际影城（绿城长峙IMAX店) ","21.820 ","11.380 ","248.3116","274"
"西安CGV影城（印象城店）","20.060
20.155","10.840
9.770","217.4504
196.9143","288"
"西安开顿IMAX影城（光美老城根店）","26.110
24.343","14.090
13.278","367.8899
323.2263","474"
"西安万达影城（龙城铭园店）","22.960
21.109","11.930
11.653","273.9128
245.9831","302"
"西安博纳国际影城 （大悦城IMAX店）","20.446 ","10.801 ","220.8985","421"
"西安卢米埃影城（曲江创意谷IMAX店）","18.519 ","10.241 ","189.6530","268"
"西安CGV影城（西咸万象城店）","19.520
16.452","10.000
10.000","195.2000
164.5200","288"
"西安幸福蓝海国际影城（乐荟中心IMAX店）","18.350
17.761","9.720
9.568","178.3620
169.9372","246"
"西安沃美影城浐灞印象城店(IMAX)","24.080
23.069","12.700
12.573","305.9160
290.0465","448"
"西安寰映影城（荟聚店）","23.730
22.423","12.650
12.010","300.1845
269.3002","359"
"西安万达影城（民乐园万达广场店）","21.180
20.790
21.340
19.800","10.927
11.080
10.092
10.702","231.4338
230.3532
215.3632
211.8996","367
336"
"西安中影紫荆国际影城IMAX（长乐天街店）","19.490
17.496","9.800
10.083","191.0020
176.4121","248"
"西安万达影城（碑林万达广场店）","16.480
15.488 ","8.830
8.697","145.5184
134.6991","294"
"西安万达影城（大明宫万达广场店）","22.030
20.912","11.260
10.625","248.0578
222.1900","368"
"西安UME影城（MOMOPARK激光IMAX店)","21.650
20.293","10.960
10.746","237.2840
212.5894","320"
"渭南万达影城（万达广场店）","  ","  ","  ","394"
"榆林万达影城（万达广场店）","  ","  ","  ","349"
"银川万达影城（西夏万达广场店）","","  ","  ","414"
"银川万达影城（金凤万达广场店）","20.700 ","10.695 ","221.3865","306"
"吴忠万达影城（万达广场店）","  ","  ","  ","373"
"石嘴山万达影城（万达广场店）","  ","  ","  ","340"
"呼和浩特万达影城（回民区万达广场店）","24.520 ","12.910 ","316.5532","302"
"呼和浩特万达影城（万达广场店）","21.240 ","10.871 ","230.9000","398
383"
"呼和浩特万达影城（喜悦广场店) ","21.070 ","11.060 ","233.0342","236"
"呼和浩特万达影城（凯德诺和木勒店) ","21.120 ","11.450 ","241.8240","384"
"包头万达影城（青山万达广场店）","23.070 ","11.455 ","264.2669","314"
"包头万达影城（九原万达广场店)","","","","370"
"包头万达影城（维多利摩尔城店)","","","","323"
"赤峰万达影城（万达广场店）","  ","   ","","414"
"乌海万达影城（万达广场店）","  ","   ","","375"
"通辽万达影城（万达广场店）","  ","  ","  ","386"
"酒泉万达影城（万达广场店）","","","","369"
"兰州万达影城（城关万达广场店）","21.600
20.523","11.390
10.872","246.0240
223.1260","410"
"兰州空间站影城（兰州中心店）","21.980
20.708","11.350
10.748","249.4730
222.4039","441"
"兰州万达影城（安宁中海环宇城店）","19.517 ","10.459 ","204.1283","332"
"兰州万达影城（万达茂店）","21.650 ","11.770 ","254.8205","384"
"武威万达影城（万达广场店）","  ","  ","  ","386"
"天水万达影城（秦州万达广场店）","19.390 ","10.460 ","202.8194","288"
"太原博纳国际影城 （茂业IMAX店）","21.780 ","11.750 ","255.9150","343"
"太原万象影城（万象城IMAX激光店）","22.850 ","11.860 ","271.0010","358"
"太原万达影城（龙湖万达广场店）","26.110 
26.510","14.060 
14.060","367.1066 
372.7306","430
384"
"太原CGV影城（印象城店) ","20.960 ","10.920 ","228.8832","230"
"太原万达影城（多彩城店）","17.920 ","9.265 ","166.0288","189"
"晋中万达影城（万达广场店)","20.060 ","10.580 ","212.2348","381"
"大同万达影城（万达广场店）","  ","  ","  ","383"
"大同万达影城（中央公园店）","","","","371"
"长治万达影城（万达广场店）","  ","  ","  ","329"
"运城万达影城（万达广场店）","  ","  ","  ","364"
"福州万达影城（金融街万达广场店）","20.600
19.090","10.674
9.854","219.8844
188.1128","314
288"
"福州金逸影城IMAX（万宝商圈店）","19.014 ","8.864 ","168.5401","445"
"福清万达影城（万达广场店)","22.210 ","11.620 ","258.0802","410"
"福州CGV影城（东二环店）","20.360 ","10.940 ","222.7384","290"
"福州幸福蓝海国际影城（名城IMAX店）","18.170 ","9.540 ","173.3418","304"
"福州万达影城（祥禾天地店) ","19.860 ","10.360 ","205.7496","353"
"福州万达影城（仓山万达广场店）","19.090
19.090","9.854
9.850","188.1128
188.0365","261"
"厦门万达影城（世茂海峡广场店）","22.620
21.457","11.830
10.780","267.5946
231.3064","348"
